split,sentence_id,text
train,1,Sara Ahmed joined Systems Limited in Saudi Arabia on March 2026 to work on transformer architecture.
train,2,Zainab Iqbal presented a project on model fine tuning at Arbisoft during 15 July 2026.
train,3,NetSol Technologies announced a new natural language processing team in Pakistan on next Friday.
train,4,Jamal Masood is an engineer from Rawalpindi with experience in LangChain.
train,5,Systems Limited is hiring graduates skilled in semantic search for its Doha office.
train,6,Mehwish Akhtar will attend an interview at Afiniti on December 2025.
train,7,The MLOps system was developed by National University of Sciences and Technology in Gulberg Lahore.
train,8,Fatima Noor used BIO tagging to improve a product built for Lahore University of Management Sciences.
train,9,Confiz released its large language models research report in 26 June 2026.
train,10,Ali Raza moved to Karachi in 26 June 2026 and started learning prompt engineering.
train,11,Mahnoor Rehman joined CureMD in Johar Town on June 2026 to work on multi agent systems.
train,12,Omar Farooq presented a project on FastAPI at Google during October 2026.
train,13,Google announced a new feature engineering team in Faisalabad on April 2025.
train,14,Mahnoor Rehman is an engineer from Gulberg Lahore with experience in REST API.
train,15,Lahore University of Management Sciences is hiring graduates skilled in model fine tuning for its Karachi office.
train,16,Zainab Iqbal will attend an interview at National University of Sciences and Technology on 15 July 2026.
train,17,The feature engineering system was developed by Afiniti in Faisalabad.
train,18,Hira Shah used retrieval augmented generation to improve a product built for Arbisoft.
train,19,Lahore University of Management Sciences released its feature engineering research report in today.
train,20,Ali Raza moved to United Arab Emirates in January 2025 and started learning LangGraph.
train,21,Zainab Iqbal joined Arbisoft in Riyadh on next Friday to work on BIO tagging.
train,22,Mehwish Akhtar presented a project on MLOps at Confiz during 26 June 2026.
train,23,Confiz announced a new vector database team in Gulberg Lahore on June 2026.
train,24,Danish Ali is an engineer from Karachi with experience in REST API.
train,25,Confiz is hiring graduates skilled in FastAPI for its United Arab Emirates office.
train,26,Omar Farooq will attend an interview at Arbisoft on January 2025.
train,27,The REST API system was developed by Google in Faisalabad.
train,28,Sana Javed used prompt engineering to improve a product built for Pakistani Software Export Board.
train,29,Arbisoft released its named entity recognition research report in December 2025.
train,30,Ayesha Khan moved to Karachi in January 2025 and started learning feature engineering.
train,31,Fatima Noor joined National University of Sciences and Technology in United Arab Emirates on next Friday to work on data preprocessing.
train,32,Ali Raza presented a project on spaCy at Afiniti during September 2026.
train,33,CureMD announced a new machine learning team in Doha on April 2025.
train,34,Sara Ahmed is an engineer from Silicon Valley with experience in MLOps.
train,35,National University of Sciences and Technology is hiring graduates skilled in large language models for its United Arab Emirates office.
train,36,Maryam Tariq will attend an interview at Afiniti on December 2025.
train,37,The LangChain system was developed by Google in Johar Town.
train,38,Sara Ahmed used feature engineering to improve a product built for Data Science Lab.
train,39,OpenAI released its prompt engineering research report in January 2025.
train,40,Fatima Noor moved to Johar Town in October 2026 and started learning LangChain.
train,41,Jamal Masood joined OpenAI in Dubai on December 2025 to work on machine learning.
train,42,Sara Ahmed presented a project on token classification at Pakistani Software Export Board during October 2026.
train,43,Systems Limited announced a new REST API team in Rawalpindi on October 2026.
train,44,Ali Raza is an engineer from Saudi Arabia with experience in named entity recognition.
train,45,National University of Sciences and Technology is hiring graduates skilled in model fine tuning for its Islamabad office.
train,46,Nida Aslam will attend an interview at Google on March 2026.
train,47,The LangGraph system was developed by Afiniti in Rawalpindi.
train,48,Hamza Siddiqui used model fine tuning to improve a product built for Lahore University of Management Sciences.
train,49,Microsoft Pakistan released its spaCy research report in 1 August 2026.
train,50,Sara Ahmed moved to Rawalpindi in 15 July 2026 and started learning vector database.
train,51,Jamal Masood joined OpenAI in Doha on Monday to work on REST API.
train,52,Zainab Iqbal presented a project on feature engineering at Systems Limited during tomorrow.
train,53,Confiz announced a new natural language processing team in Karachi on October 2026.
train,54,Ahmed Rauf is an engineer from Doha with experience in BIO tagging.
train,55,Confiz is hiring graduates skilled in multi agent systems for its Doha office.
train,56,Saad Qureshi will attend an interview at OpenAI on Monday.
train,57,The model fine tuning system was developed by Confiz in Karachi.
train,58,Sana Javed used spaCy to improve a product built for Techlogix.
train,59,Punjab University released its large language models research report in today.
train,60,Ayesha Khan moved to Saudi Arabia in 26 June 2026 and started learning large language models.
train,61,Zainab Iqbal joined Confiz in Rawalpindi on 1 August 2026 to work on spaCy.
train,62,Usman Malik presented a project on spaCy at Afiniti during March 2026.
train,63,Data Science Lab announced a new spaCy team in Silicon Valley on 15 July 2026.
train,64,Mehwish Akhtar is an engineer from Lahore with experience in LangGraph.
train,65,NetSol Technologies is hiring graduates skilled in transformer architecture for its Silicon Valley office.
train,66,Fatima Noor will attend an interview at Afiniti on December 2025.
train,67,The FastAPI system was developed by Pakistani Software Export Board in Lahore.
train,68,Jamal Masood used spaCy to improve a product built for Afiniti.
train,69,Afiniti released its LangGraph research report in tomorrow.
train,70,Nida Aslam moved to Rawalpindi in March 2026 and started learning retrieval augmented generation.
train,71,Ayesha Khan joined OpenAI in Saudi Arabia on 1 August 2026 to work on natural language processing.
train,72,Ahmed Rauf presented a project on Hugging Face Transformers at Systems Limited during September 2026.
train,73,Pakistani Software Export Board announced a new deep learning team in Gulberg Lahore on 1 August 2026.
train,74,Ayesha Khan is an engineer from Karachi with experience in deep learning.
train,75,OpenAI is hiring graduates skilled in transformer architecture for its Karachi office.
train,76,Danish Ali will attend an interview at NetSol Technologies on September 2026.
train,77,The named entity recognition system was developed by OpenAI in Lahore.
train,78,Sana Javed used LangChain to improve a product built for Punjab University.
train,79,Pakistani Software Export Board released its model fine tuning research report in Monday.
train,80,Ahmed Rauf moved to Faisalabad in next Friday and started learning computer vision.
train,81,Maryam Tariq joined Microsoft Pakistan in Dubai on October 2026 to work on MLOps.
train,82,Ali Raza presented a project on REST API at Systems Limited during September 2026.
train,83,NetSol Technologies announced a new LangChain team in Doha on Monday.
train,84,Bilal Hussain is an engineer from Silicon Valley with experience in named entity recognition.
train,85,Techlogix is hiring graduates skilled in spaCy for its Faisalabad office.
train,86,Mehwish Akhtar will attend an interview at Lahore University of Management Sciences on September 2026.
train,87,The LangGraph system was developed by Systems Limited in United Arab Emirates.
train,88,Maryam Tariq used computer vision to improve a product built for Pakistani Software Export Board.
train,89,NetSol Technologies released its multi agent systems research report in 15 July 2026.
train,90,Mehwish Akhtar moved to Faisalabad in March 2026 and started learning data preprocessing.
train,91,Hamza Siddiqui joined Lahore University of Management Sciences in Dubai on Monday to work on model fine tuning.
train,92,Bilal Hussain presented a project on natural language processing at Google during March 2026.
train,93,Punjab University announced a new BIO tagging team in Abu Dhabi on April 2025.
train,94,Ayesha Khan is an engineer from Dubai with experience in computer vision.
train,95,Arbisoft is hiring graduates skilled in LangGraph for its Saudi Arabia office.
train,96,Sana Javed will attend an interview at Google on 15 July 2026.
train,97,The prompt engineering system was developed by Google in Lahore.
train,98,Saad Qureshi used computer vision to improve a product built for Google.
train,99,CureMD released its natural language processing research report in October 2026.
train,100,Hira Shah moved to United Arab Emirates in Monday and started learning model fine tuning.
train,101,Sara Ahmed joined Techlogix in Johar Town on 1 August 2026 to work on PyTorch.
train,102,Mahnoor Rehman presented a project on transformer architecture at Lahore University of Management Sciences during October 2026.
train,103,National University of Sciences and Technology announced a new PyTorch team in Johar Town on January 2025.
train,104,Jamal Masood is an engineer from Saudi Arabia with experience in vector database.
train,105,National University of Sciences and Technology is hiring graduates skilled in multi agent systems for its United Arab Emirates office.
train,106,Zainab Iqbal will attend an interview at CureMD on 5 May 2026.
train,107,The Hugging Face Transformers system was developed by Afiniti in Gulberg Lahore.
